INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch CLANG as the compiler.
   Compiling ../../../../tb_hilbert.cpp in debug mode
   Compiling ../../../../hilbert.cpp in debug mode
   Generating csim.exe
     n       input    envelope    last
--------------------------------------
     0           0           0       0
     1        5126           0       0
     2       10126          66       0
     3       14876         131       0
     4       19260         262       0
     5       23170         387       0
     6       26509         575       0
     7       29196         748       0
     8       31163         980       0
     9       32364        1186       0
    10       32767        1444       0
    11       32364        1665       0
    12       31163        1930       0
    13       29196        2147       0
    14       26509        2399       0
    15       23170        2592       0
    16       19260        2815       0
    17       14876        2968       0
    18       10126        3147       0
    19        5126        3248       0
    20           0        3375       0
    21       -5126        3419       0
    22      -10126        3491       0
    23      -14876        3477       0
    24      -19260        3498       0
    25      -23170        3433       0
    26      -26509        3414       0
    27      -29196        3311       0
    28      -31163        3268       0
    29      -32364        3145       0
    30      -32767        3100       0
    31      -32364        2978       0
    32      -31163        2955       0
    33      -29196        2859       0
    34      -26509        2885       0
    35      -23170        2839       0
    36      -19260        2941       0
    37      -14876        2971       0
    38      -10126        3178       0
    39       -5126        3308       0
    40           0        3652       0
    41        5126        3907       0
    42       10126        4428       0
    43       14876        4840       0
    44       19260        5599       0
    45       23170        6220       0
    46       26509        7340       0
    47       29196        8280       0
    48       31163       10103       0
    49       32364       11678       0
    50       32767       16229       0
    51       32364       21014       0
    52       31163       23103       0
    53       29196       25442       0
    54       26509       26997       0
    55       23170       28579       0
    56       19260       29739       0
    57       14876       30827       0
    58       10126       31662       0
    59        5126       32385       0
    60           0       32969       0
    61       -5126       33432       0
    62      -10126       33846       0
    63      -14876       34145       0
    64      -19260       34461       0
    65      -23170       34669       0
    66      -26509       34933       0
    67      -29196       35089       0
    68      -31163       35308       0
    69      -32364       35410       0
    70      -32767       35559       0
    71      -32364       35575       0
    72      -31163       35609       0
    73      -29196       35499       0
    74      -26509       35376       0
    75      -23170       35114       0
    76      -19260       34820       0
    77      -14876       34410       0
    78      -10126       33969       0
    79       -5126       33460       0
    80           0       32940       0
    81        5126       32415       0
    82       10126       31913       0
    83       14876       31478       0
    84       19260       31100       0
    85       23170       30843       0
    86       26509       30663       0
    87       29196       30628       0
    88       31163       30659       0
    89       32364       30822       0
    90       32767       31014       0
    91       32364       31294       0
    92       31163       31558       0
    93       29196       31857       0
    94       26509       32103       0
    95       23170       32340       0
    96       19260       32507       0
    97       14876       32644       0
    98       10126       32716       0
    99        5126       32759       0
   100           0       32767       1
INFO [HLS SIM]: The maximum depth reached by any hls::stream() instance in the design is 101
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
